Title,year,Genres,Actors,Director,Plot,OMDb_URL,Poster_URL
The Great Train Robbery,1903.0,"Short, Action, Adventure","Gilbert M. 'Broncho Billy' Anderson, A.C. Abadie, George Barnes",Edwin S. Porter,"A group of bandits stage a brazen train hold-up, only to find a determined posse hot on their heels.",https://www.imdb.com/title/tt0000439/,https://m.media-amazon.com/images/M/MV5BOWUwMWMxZjEtNTMzNy00NDc4LWEyNjktYzRjZjQ4MGI4ZDZhXkEyXkFqcGc@._V1_SX300.jpg
The Birth of a Nation,1915.0,"Drama, War","Lillian Gish, Mae Marsh, Henry B. Walthall",D.W. Griffith,"The Stoneman family finds its friendship with the Camerons affected by the Civil War, both fighting in opposite armies. The development of the war in their lives plays through to Lincoln's assassination and the birth of the Ku Klu...",https://www.imdb.com/title/tt0004972/,https://m.media-amazon.com/images/M/MV5BMzg3ZDMxMzUtNTQyNi00MzdiLTg5ZmUtZmJkODcwN2Y1NGMyXkEyXkFqcGc@._V1_SX300.jpg
Les Vampires,1915.0,"Action, Adventure, Crime","Musidora, Édouard Mathé, Marcel Lévesque",Louis Feuillade,An intrepid reporter and his loyal friend battle a bizarre secret society of criminals known as The Vampires.,https://www.imdb.com/title/tt0006206/,https://m.media-amazon.com/images/M/MV5BMTc1NTY3NDIzNl5BMl5BanBnXkFtZTgwNTIyODg5MTE@._V1_SX300.jpg
Intolerance,1916.0,"Drama, History","Lillian Gish, Robert Harron, Mae Marsh",D.W. Griffith,The story of a poor young woman separated by prejudice from her husband and baby is interwoven with tales of intolerance from throughout history.,https://www.imdb.com/title/tt0006864/,https://m.media-amazon.com/images/M/MV5BMWU5NDUwYmItNzU5OC00ZGU2LTllNTEtYWQ4ZDdjZGFjOWJkXkEyXkFqcGc@._V1_SX300.jpg
Broken Blossoms,1919.0,"Drama, Romance","Lillian Gish, Richard Barthelmess, Donald Crisp",D.W. Griffith,"A frail waif, abused by her brutal boxer father in London's seedy Limehouse District, is befriended by a sensitive Chinese immigrant with tragic consequences.",https://www.imdb.com/title/tt0009968/,https://m.media-amazon.com/images/M/MV5BNTM0MjdkZTAtZGMzNi00MTU0LTg3MGYtNmRjMmVkMTY4OGMzXkEyXkFqcGc@._V1_SX300.jpg
Within Our Gates,1920.0,"Drama, Romance","Evelyn Preer, Flo Clements, James D. Ruffin",Oscar Micheaux,"Abandoned by her fiancé, an educated black woman with a shocking past dedicates herself to helping a near bankrupt school for impoverished black youths.",https://www.imdb.com/title/tt0011870/,https://m.media-amazon.com/images/M/MV5BMDAyYjU1M2QtM2EzOS00NGFlLTg2NzEtM2M2YTg4NmI3YTlkXkEyXkFqcGc@._V1_SX300.jpg
The Cabinet of Dr. Caligari (Das Kabinett des Doktor Caligari),1920.0,"Horror, Mystery, Thriller","Werner Krauss, Conrad Veidt, Friedrich Feher",Robert Wiene,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.",https://www.imdb.com/title/tt0010323/,https://m.media-amazon.com/images/M/MV5BNzNhY2VmYTctODhhZC00M2U1LTk4MTktMmFmNmJhY2Y1YzgxXkEyXkFqcGc@._V1_SX300.jpg
Way Down East,1920.0,"Drama, Romance","Lillian Gish, Richard Barthelmess, Mrs. David Landau",D.W. Griffith,"A naive country girl is tricked into a sham marriage by a wealthy womanizer, then must rebuild her life despite the taint of having borne a child out of wedlock.",https://www.imdb.com/title/tt0011841/,https://m.media-amazon.com/images/M/MV5BMjI5OTI3NTQ4NV5BMl5BanBnXkFtZTgwNDY3NTAwMjE@._V1_SX300.jpg
The Phantom Carriage (Körkarlen),1921.0,"Drama, Fantasy, Horror","Victor Sjöström, Hilda Borgström, Tore Svennberg",Victor Sjöström,"On New Year's Eve, the driver of a ghostly carriage forces a drunken man to reflect on his selfish, wasted life.",https://www.imdb.com/title/tt0012364/,https://m.media-amazon.com/images/M/MV5BYjlkMmJjYTktNzE3Zi00N2NkLThiMjAtZGI0NjFhNDc5ZmMyXkEyXkFqcGc@._V1_SX300.jpg
Orphans of the Storm,1921.0,"Drama, History, Romance","Lillian Gish, Dorothy Gish, Joseph Schildkraut",D.W. Griffith,"Two orphaned sisters are caught up in the turmoil of the French Revolution, encountering misery and love along the way.",https://www.imdb.com/title/tt0012532/,https://m.media-amazon.com/images/M/MV5BMDM1ZmM5NWUtYmNlNy00ODcyLWFmNDQtMWI0Y2NmOGI4YzQ2XkEyXkFqcGc@._V1_SX300.jpg
